target_pool_id,target_cif_id,target_source,target_density,target_metal_fraction,space,rank,neighbour_pool_id,neighbour_cif_id,neighbour_source,neighbour_density,neighbour_metal_fraction,delta_density
qmof__ABOTUJ_FSR,ABOTUJ_FSR,qmof,0.0365870889787397,0.0454545454545454,latent (cls),3,qmof__XIVKES_FSR,XIVKES_FSR,qmof,0.0476420545730755,0.0714285714285714,0.011054965594335803
qmof__ABOTUJ_FSR,ABOTUJ_FSR,qmof,0.0365870889787397,0.0454545454545454,latent (cls),4,qmof__POQNOA_FSR,POQNOA_FSR,qmof,0.0485843881980942,0.04,0.011997299219354503
qmof__ABOTUJ_FSR,ABOTUJ_FSR,qmof,0.0365870889787397,0.0454545454545454,latent (cls),5,qmof__LEHKAM_FSR,LEHKAM_FSR,qmof,0.0485410724494033,0.0384615384615384,0.0119539834706636
qmof__ABOTUJ_FSR,ABOTUJ_FSR,qmof,0.0365870889787397,0.0454545454545454,latent (raw_cls),1,qmof__GEVJAT_FSR,GEVJAT_FSR,qmof,0.0504461237538288,0.0344827586206896,0.013859034775089103
qmof__ABOTUJ_FSR,ABOTUJ_FSR,qmof,0.0365870889787397,0.0454545454545454,latent (raw_cls),2,qmof__XIVKES_FSR,XIVKES_FSR,qmof,0.0476420545730755,0.0714285714285714,0.011054965594335803
qmof__ABOTUJ_FSR,ABOTUJ_FSR,qmof,0.0365870889787397,0.0454545454545454,latent (raw_cls),3,qmof__CUYDAC_FSR,CUYDAC_FSR,qmof,0.0353804324373181,0.0232558139534883,-0.0012066565414215955
qmof__ABOTUJ_FSR,ABOTUJ_FSR,qmof,0.0365870889787397,0.0454545454545454,latent (raw_cls),4,qmof__PIZKUG_FSR,PIZKUG_FSR,qmof,0.0243227573541096,0.0566037735849056,-0.012264331624630097
qmof__ABOTUJ_FSR,ABOTUJ_FSR,qmof,0.0365870889787397,0.0454545454545454,latent (raw_cls),5,qmof__WOPJIW_FSR,WOPJIW_FSR,qmof,0.0423329005606706,0.0476190476190476,0.005745811581930903
qmof__ABOTUJ_FSR,ABOTUJ_FSR,qmof,0.0365870889787397,0.0454545454545454,latent (concat),1,qmof__HUFJUN_FSR,HUFJUN_FSR,qmof,0.0226471375644987,0.0416666666666666,-0.013939951414240998
qmof__ABOTUJ_FSR,ABOTUJ_FSR,qmof,0.0365870889787397,0.0454545454545454,latent (concat),2,qmof__CENSOD_FSR,CENSOD_FSR,qmof,0.0870620721878395,0.0555555555555555,0.0504749832090998
qmof__ABOTUJ_FSR,ABOTUJ_FSR,qmof,0.0365870889787397,0.0454545454545454,latent (concat),3,qmof__WIGDOF_FSR,WIGDOF_FSR,qmof,0.0388109140985626,0.0545454545454545,0.0022238251198229003
qmof__ABOTUJ_FSR,ABOTUJ_FSR,qmof,0.0365870889787397,0.0454545454545454,latent (concat),4,qmof__JESXEL_FSR,JESXEL_FSR,qmof,0.0557159567250835,0.0555555555555555,0.0191288677463438
qmof__ABOTUJ_FSR,ABOTUJ_FSR,qmof,0.0365870889787397,0.0454545454545454,latent (concat),5,qmof__NAZWUI_FSR,NAZWUI_FSR,qmof,0.0530653514056434,0.0555555555555555,0.0164782624269037
qmof__ABXALA01_FSR,ABXALA01_FSR,qmof,0.0490578132606968,0.0338983050847457,proxy_kNN (baseline),1,qmof__QAXKUW01_FSR,QAXKUW01_FSR,qmof,0.0487586506660188,0.0333333333333333,-0.00029916259467799994
qmof__ABXALA01_FSR,ABXALA01_FSR,qmof,0.0490578132606968,0.0338983050847457,proxy_kNN (baseline),2,qmof__FELXIE_FSR,FELXIE_FSR,qmof,0.049849860373692,0.0333333333333333,0.0007920471129951936
qmof__ABXALA01_FSR,ABXALA01_FSR,qmof,0.0490578132606968,0.0338983050847457,proxy_kNN (baseline),3,qmof__PIWDEF_FSR,PIWDEF_FSR,qmof,0.0501985601310128,0.0333333333333333,0.0011407468703159979
